O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,C,F,F,F,F,F,F,A,F,F,F,F,F,F,B,F,F,F,F,F,F,F,F,F,F,C,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,B,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,A,F,F,F,F,F,F,B,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,B,F,F,F,F,F,F,O
G,F,F,F,F,F,F,F,F,F,A,F,B,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G
G,F,F,F,F,F,F,F,F,F,F,S,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G
G,A,F,F,F,F,F,F,F,F,F,A,F,B,F,F,F,F,F,F,F,F,F,F,F,F,B,G
G,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,G
O,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,B,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,A,F,F,F,F,F,F,B,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,B,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,C,F,F,F,F,F,F,A,F,F,F,F,F,F,B,F,F,F,F,F,F,F,F,F,F,C,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
